reg_id,distance_cm,bacteria_count,infection_rate,spread_path_factor,airborne_bacteria_fraction,respirable_bacteria_fraction,airflow_speed_m_s,environment_stability,class_bacteria_level,moisture_level,dispersion_factor
124,1,203980000000000,0.8,1.0,1.0,1.0,4.71,B,N4,0.0006,0.0017
125,1,434180000000000,1.0,0.5,0.5,1.0,3.72,F,QS,0.0001,0.081
126,1,155670000000000,0.8,0.5,1.0,1.0,4.09,C,Z1,0.0001,0.002
127,1,384510000000000,1.0,1.0,0.9,1.0,4.76,F,QS,0.0001,0.23
128,1,439090000000000,0.5,0.9,0.5,1.0,4.86,F,QS,0.0001,0.064
129,1,328330000000000,0.6,0.5,0.7,0.5,3.44,A,V3,0.0001,0.00024
130,1,381820000000000,0.7,0.6,0.8,0.5,4.39,E,T6,0.0001,0.015
131,1,113600000000000,0.8,0.6,1.0,0.8,3.82,B,N4,0.00048,0.00055
132,1,294560000000000,0.5,1.0,0.5,0.5,3.64,A,V3,0.0001,0.00024
133,1,88645000000000,0.5,0.9,0.5,0.6,4.62,B,N4,0.0001,0.00014
134,1,278510000000000,0.7,0.5,1.0,0.9,4.91,B,N4,0.0001,0.00097
135,1,102090000000000,0.9,0.5,1.0,0.7,3.13,D,M7,0.00028,0.0034
136,1,397680000000000,0.5,0.5,0.7,0.6,4.03,E,T6,0.0001,0.01
137,1,223860000000000,1.0,1.0,0.5,0.8,3.37,B,N4,0.0001,0.0014
138,1,351880000000000,0.5,0.5,0.5,0.5,3.1,E,T6,0.0001,0.0066
139,1,201380000000000,1.0,0.5,0.9,1.0,3.98,C,Z1,0.00044,0.0027
140,1,112940000000000,0.5,1.0,0.5,1.0,4.69,B,N4,0.0001,0.00032
141,1,417740000000000,0.7,0.6,1.0,1.0,3.33,B,N4,0.0001,0.0028
142,1,173130000000000,0.6,0.9,0.6,0.8,3.68,C,Z1,0.0001,0.0016
143,1,109950000000000,0.5,0.6,0.7,0.9,3.55,A,V3,0.0001,0.00014
144,1,179190000000000,0.5,1.0,1.0,0.5,4.86,A,V3,0.0001,0.00022
145,1,433970000000000,1.0,1.0,0.6,0.5,3.75,F,QS,0.0003,0.085
146,1,64874000000000,1.0,0.5,0.9,0.5,4.4,B,N4,0.0001,0.00018
147,1,65989000000000,1.0,0.5,1.0,1.0,3.83,C,Z1,0.00049,0.001
148,1,224010000000000,0.8,1.0,0.6,0.6,3.06,B,N4,0.0001,0.0011
149,1,135450000000000,0.8,1.0,0.6,1.0,3.46,F,QS,0.0001,0.05
150,1,90808000000000,1.0,0.5,0.8,1.0,3.67,F,QS,0.00034,0.023
151,1,123020000000000,1.0,0.6,0.9,1.0,3.86,C,Z1,0.0001,0.0023
152,1,424640000000000,1.0,0.5,1.0,1.0,3.76,A,V3,0.00021,0.0013
153,1,176220000000000,1.0,0.5,1.0,1.0,4.66,E,T6,0.0001,0.019
154,1,48387000000000,0.5,1.0,0.5,0.5,3.86,E,T6,0.0001,0.0015
155,1,282040000000000,0.5,1.0,1.0,0.5,4.87,A,V3,0.0001,0.00035
156,1,358990000000000,0.5,1.0,0.5,1.0,4.88,B,N4,0.00036,0.00094
157,1,137800000000000,0.5,0.6,1.0,0.8,3.58,F,QS,0.00036,0.021
158,1,127470000000000,1.0,0.9,1.0,1.0,4.42,B,N4,0.00051,0.0013
159,1,189600000000000,0.5,0.5,0.5,0.5,3.39,F,QS,0.0001,0.0092
160,1,282140000000000,0.5,0.7,1.0,0.5,3.02,A,V3,0.0001,0.00038
161,1,197440000000000,0.5,0.9,1.0,0.5,3.3,D,M7,0.00044,0.0043
162,1,248020000000000,0.7,1.0,1.0,0.7,3.21,A,V3,0.00037,0.00081
163,1,364820000000000,1.0,0.5,0.5,0.5,3.07,E,T6,0.0001,0.014
164,1,198440000000000,1.0,0.5,0.6,0.5,4.33,E,T6,0.00032,0.0063
165,1,363220000000000,0.7,0.5,1.0,0.5,3.53,A,V3,0.0001,0.00042
166,1,270790000000000,1.0,0.9,0.8,0.6,4.21,D,M7,0.00034,0.0096
167,1,177410000000000,0.5,0.6,1.0,0.8,4.32,D,M7,0.0001,0.0037
168,1,206500000000000,0.5,0.5,1.0,1.0,4.47,C,Z1,0.0001,0.0015
169,1,50107000000000,0.5,0.6,0.5,0.6,4.16,C,Z1,0.0001,0.00014
170,1,122030000000000,0.7,1.0,1.0,1.0,3.49,A,V3,0.0001,0.00057
171,1,371300000000000,1.0,0.5,0.6,0.5,4.6,C,Z1,0.0001,0.0016
172,1,185510000000000,0.7,1.0,1.0,0.5,4.27,E,T6,0.0001,0.015
173,1,159070000000000,0.5,0.5,0.5,0.5,4.7,C,Z1,0.0001,0.00028
174,1,382290000000000,0.9,1.0,0.5,0.8,3.9,A,V3,0.0001,0.00083
175,1,154600000000000,0.9,0.5,0.5,0.8,3.36,A,V3,0.00051,0.00017
176,1,37148000000000,0.8,0.7,0.6,1.0,4.16,C,Z1,0.00019,0.00039
177,1,87090000000000,0.5,0.9,1.0,0.5,3.22,B,N4,0.0001,0.00032
178,1,391230000000000,0.7,0.8,0.6,0.5,4.28,A,V3,0.00056,0.00032
179,1,111490000000000,0.5,0.6,0.9,0.7,3.31,C,Z1,0.0001,0.00083
180,1,312310000000000,1.0,1.0,0.8,0.7,3.99,F,QS,0.0001,0.13
181,1,99559000000000,1.0,0.8,0.5,0.5,4.4,D,M7,0.0001,0.0017
182,1,399880000000000,0.5,0.5,0.6,0.5,3.53,A,V3,0.00022,0.00019
183,1,177900000000000,1.0,1.0,0.9,0.8,4.62,B,N4,0.0001,0.0015
184,1,291420000000000,0.5,1.0,1.0,1.0,4.38,C,Z1,0.0006,0.0039
185,1,180720000000000,0.6,0.5,0.6,0.5,4.6,D,M7,0.0001,0.0013
186,1,49927000000000,0.5,1.0,0.6,0.6,3.42,F,QS,0.0001,0.0069
187,1,232800000000000,0.6,0.7,1.0,1.0,4.65,C,Z1,0.0001,0.0028
188,1,208850000000000,0.8,0.5,0.5,0.5,3.35,F,QS,0.0001,0.016
189,1,346040000000000,1.0,0.5,0.5,0.7,4.72,F,QS,0.0001,0.04
190,1,235170000000000,0.5,0.5,0.9,0.5,4.87,C,Z1,0.0001,0.00073
191,1,422170000000000,1.0,0.8,0.5,0.5,4.09,A,V3,0.00015,0.00048
192,1,418060000000000,0.5,0.8,0.8,0.5,4.57,A,V3,0.0005,0.00032
193,1,100780000000000,0.9,1.0,0.5,1.0,4.75,F,QS,0.0004,0.025
194,1,113220000000000,1.0,0.5,0.6,0.5,4.96,C,Z1,0.0001,0.00046
195,1,147470000000000,1.0,0.8,1.0,0.5,3.41,A,V3,0.0001,0.00041
196,1,59033000000000,0.5,0.5,0.5,1.0,4.31,E,T6,0.0001,0.0017
197,1,429730000000000,0.5,0.5,0.8,1.0,3.39,F,QS,0.0001,0.066
198,1,265770000000000,0.8,1.0,0.7,0.5,3.57,D,M7,0.0001,0.0076
199,1,349670000000000,1.0,1.0,1.0,0.9,3.4,C,Z1,0.0001,0.012
200,1,344970000000000,0.6,1.0,0.5,0.8,4.52,A,V3,0.00046,0.0004
201,1,228840000000000,0.6,0.9,0.8,1.0,3.08,B,N4,0.0001,0.0017
202,1,270450000000000,0.8,0.7,0.8,1.0,3.28,C,Z1,0.00048,0.0042
203,1,49561000000000,1.0,0.8,0.9,0.9,4.05,F,QS,0.00032,0.02
204,1,422490000000000,1.0,0.5,1.0,0.5,3.68,F,QS,0.0001,0.079
205,1,127310000000000,0.5,0.5,0.5,0.5,4.21,C,Z1,0.0001,0.00025
206,1,133530000000000,1.0,0.6,0.5,0.5,3.8,F,QS,0.0001,0.015
207,1,57763000000000,1.0,0.5,0.9,1.0,3.72,F,QS,0.00034,0.017
208,1,369550000000000,0.5,0.5,0.5,1.0,3.13,A,V3,0.0001,0.00034
209,1,310190000000000,0.5,1.0,1.0,1.0,3.64,A,V3,0.0001,0.001
210,1,392650000000000,0.5,0.5,1.0,1.0,3.61,C,Z1,0.00056,0.0031
211,1,157030000000000,0.7,1.0,0.5,0.5,3.84,F,QS,0.0001,0.02
212,1,435630000000000,1.0,1.0,1.0,0.5,3.93,D,M7,0.0001,0.02
213,1,384650000000000,0.5,1.0,1.0,0.6,3.14,D,M7,0.0001,0.013
214,1,79275000000000,1.0,0.5,0.7,0.5,3.34,D,M7,0.0001,0.0015
215,1,65080000000000,0.5,0.5,0.6,0.5,4.18,E,T6,0.00029,0.0011
216,1,167410000000000,1.0,1.0,0.5,1.0,3.4,B,N4,0.0001,0.0013
217,1,291970000000000,0.5,0.8,1.0,0.5,3.44,F,QS,0.0001,0.045
218,1,439010000000000,1.0,1.0,1.0,0.5,3.82,E,T6,0.0001,0.056
219,1,283710000000000,0.7,0.9,0.5,0.5,3.83,C,Z1,0.0001,0.0015
220,1,251310000000000,0.5,0.7,0.6,0.5,4.75,B,N4,0.0001,0.0003
221,1,285270000000000,0.9,1.0,1.0,1.0,4.96,C,Z1,0.00044,0.0064
222,1,281910000000000,0.9,0.5,0.8,0.8,3.66,F,QS,0.0001,0.061
223,1,42937000000000,1.0,0.9,0.5,0.5,4.96,B,N4,0.0001,0.00011
224,1,358900000000000,1.0,0.8,1.0,0.5,4.19,C,Z1,0.00053,0.004
225,1,83938000000000,0.5,0.5,1.0,0.6,3.42,A,V3,0.0001,8.7e-05
226,1,308140000000000,0.9,0.5,1.0,0.9,3.39,A,V3,0.00056,0.00074
227,1,331040000000000,0.8,1.0,1.0,0.5,3.72,E,T6,0.0001,0.035
228,1,299190000000000,0.5,1.0,0.6,0.5,3.6,E,T6,0.0002,0.012
229,1,398430000000000,1.0,0.5,0.5,0.8,4.23,D,M7,0.0001,0.007
230,1,241590000000000,1.0,1.0,0.5,0.7,4.5,B,N4,0.00016,0.001
231,1,318430000000000,1.0,1.0,0.5,0.9,3.19,A,V3,0.00056,0.00089
232,1,431610000000000,0.7,0.5,0.5,0.5,3.06,E,T6,0.00026,0.01
233,1,343340000000000,0.8,0.9,0.5,1.0,3.19,E,T6,0.00015,0.035
234,1,59811000000000,1.0,1.0,0.7,0.7,3.6,B,N4,0.00048,0.00039
235,1,44140000000000,0.7,1.0,0.6,1.0,4.14,B,N4,0.0001,0.00024
236,1,350280000000000,0.7,0.5,0.6,1.0,4.94,C,Z1,0.00043,0.0018
237,1,204650000000000,0.7,0.5,1.0,1.0,4.72,B,N4,0.0001,0.00082
238,1,148490000000000,0.5,1.0,0.7,1.0,4.78,A,V3,0.0001,0.00026
239,1,189820000000000,1.0,0.9,1.0,0.6,4.54,C,Z1,0.0001,0.003
240,1,350440000000000,0.6,0.5,0.8,1.0,4.81,E,T6,0.0001,0.018
241,1,124150000000000,1.0,0.5,0.5,1.0,4.33,F,QS,0.0001,0.021
242,1,134530000000000,0.5,1.0,1.0,0.8,4.31,E,T6,0.0001,0.013
243,1,329720000000000,0.5,0.5,1.0,0.9,3.17,A,V3,0.0001,0.00055
244,1,438180000000000,1.0,1.0,0.9,0.8,3.65,F,QS,0.0001,0.24
245,1,64746000000000,0.5,0.5,1.0,0.5,4.15,B,N4,0.00018,0.0001
246,1,393630000000000,0.5,0.6,0.9,0.5,3.36,C,Z1,0.00058,0.0017
247,1,120360000000000,1.0,0.7,0.9,0.5,4.09,E,T6,0.00022,0.0088
248,1,287320000000000,1.0,1.0,0.5,1.0,3.99,B,N4,0.00025,0.0018
249,1,134850000000000,0.5,1.0,1.0,0.5,4.95,F,QS,0.0001,0.022
250,1,423150000000000,1.0,0.9,0.5,0.9,3.6,E,T6,0.00032,0.041
251,1,374180000000000,0.5,1.0,0.5,0.7,4.51,D,M7,0.0001,0.0054
252,1,316220000000000,0.8,0.9,1.0,0.5,4.65,A,V3,0.00056,0.00052
253,1,188950000000000,0.7,1.0,0.5,0.7,3.54,D,M7,0.00056,0.004
254,1,292460000000000,0.9,1.0,0.8,1.0,4.7,F,QS,0.0001,0.14
255,1,144300000000000,0.5,0.5,1.0,1.0,3.0,B,N4,0.0001,0.00063
256,1,274920000000000,0.5,0.9,0.8,0.6,3.45,C,Z1,0.0001,0.0023
257,1,188130000000000,0.5,0.5,1.0,1.0,4.45,E,T6,0.00034,0.0097
258,1,196080000000000,0.5,1.0,0.9,0.6,3.83,C,Z1,0.00035,0.0017
259,1,155040000000000,0.6,0.5,1.0,1.0,4.76,D,M7,0.0001,0.0037
260,1,303680000000000,0.8,0.5,0.5,1.0,3.92,C,Z1,0.00035,0.0019
261,1,183830000000000,1.0,0.7,0.8,1.0,4.3,B,N4,0.0001,0.0013
262,1,130960000000000,0.6,0.9,0.8,1.0,3.52,F,QS,0.0001,0.043
263,1,190140000000000,1.0,1.0,0.5,0.9,4.08,A,V3,0.0001,0.0005
264,1,431940000000000,0.9,0.5,0.5,1.0,4.08,E,T6,0.0001,0.024
265,1,51326000000000,0.5,1.0,0.5,0.5,4.11,D,M7,0.0001,0.00058
266,1,274200000000000,0.5,1.0,0.7,1.0,3.67,F,QS,0.0001,0.072
267,1,90432000000000,0.9,0.7,0.5,1.0,4.0,C,Z1,0.0001,0.00094
268,1,399600000000000,0.5,0.9,0.5,0.5,4.39,E,T6,0.0001,0.01
269,1,334180000000000,1.0,1.0,1.0,0.5,3.98,A,V3,0.00051,0.00089
270,1,42562000000000,0.5,1.0,1.0,1.0,3.32,C,Z1,0.0001,0.00083
271,1,302070000000000,0.5,0.5,0.6,0.9,4.37,F,QS,0.00056,0.022
272,1,107580000000000,1.0,0.5,1.0,1.0,4.32,F,QS,0.0001,0.037
273,1,62400000000000,0.9,1.0,0.7,0.7,4.56,E,T6,0.00048,0.0053
274,1,181660000000000,1.0,1.0,1.0,1.0,4.25,E,T6,0.00013,0.042
275,1,148420000000000,0.9,0.8,1.0,1.0,3.99,F,QS,0.0005,0.06
276,1,332760000000000,1.0,0.5,1.0,0.8,3.73,F,QS,0.00016,0.095
277,1,132400000000000,1.0,0.5,1.0,1.0,4.94,E,T6,0.0001,0.014
278,1,103220000000000,1.0,1.0,1.0,1.0,3.87,B,N4,0.0001,0.0014
279,1,39085000000000,1.0,0.8,0.5,0.5,4.49,D,M7,0.0001,0.00065
280,1,66062000000000,0.5,0.7,1.0,0.7,4.15,A,V3,0.0001,9.2e-05
281,1,212890000000000,1.0,0.5,0.8,0.5,3.92,E,T6,0.00024,0.01
282,1,74944000000000,0.5,1.0,0.9,1.0,3.11,D,M7,0.00028,0.0036
283,1,198300000000000,1.0,0.5,1.0,0.5,3.11,B,N4,0.00018,0.00082
284,1,173700000000000,0.8,0.5,0.5,0.5,4.64,D,M7,0.0001,0.0014
285,1,93850000000000,0.5,1.0,1.0,0.9,3.33,E,T6,0.0001,0.012
286,1,275250000000000,1.0,0.9,0.5,0.6,4.28,E,T6,0.0001,0.017
287,1,331820000000000,0.5,0.5,0.5,0.7,3.58,A,V3,0.00057,0.00016
288,1,275110000000000,0.5,1.0,1.0,0.8,3.75,D,M7,0.0001,0.011
289,1,81252000000000,1.0,0.6,1.0,0.5,3.5,F,QS,0.0001,0.019
290,1,248950000000000,0.9,0.5,0.7,1.0,4.32,C,Z1,0.00028,0.0023
291,1,40290000000000,0.6,1.0,0.9,0.6,4.85,C,Z1,0.0001,0.00036
292,1,177760000000000,0.8,0.6,0.5,0.5,4.39,F,QS,0.00032,0.013
293,1,370830000000000,0.5,0.5,1.0,0.5,4.86,F,QS,0.0001,0.03
294,1,258200000000000,1.0,0.5,1.0,1.0,4.59,B,N4,0.0001,0.0015
295,1,187950000000000,1.0,0.6,0.7,1.0,3.75,C,Z1,0.00037,0.0025
296,1,427920000000000,0.5,0.5,1.0,1.0,4.75,C,Z1,0.0001,0.003
297,1,374030000000000,0.5,0.7,0.5,1.0,3.74,A,V3,0.00041,0.00038
298,1,206350000000000,1.0,0.5,0.5,0.8,3.52,E,T6,0.00048,0.0094
299,1,110330000000000,0.5,0.9,0.5,1.0,3.24,F,QS,0.00023,0.018
300,1,318560000000000,1.0,0.6,1.0,0.5,4.02,A,V3,0.00055,0.0005
301,1,168760000000000,1.0,1.0,0.5,1.0,4.15,B,N4,0.00035,0.001
302,1,279730000000000,0.7,1.0,0.6,0.5,3.88,B,N4,0.00047,0.00073
303,1,145490000000000,1.0,1.0,0.9,1.0,4.17,F,QS,0.0001,0.092
304,1,166160000000000,1.0,1.0,0.5,1.0,4.39,F,QS,0.0001,0.057
305,1,72368000000000,0.5,1.0,0.5,0.5,4.1,C,Z1,0.00017,0.00029
306,1,145170000000000,0.5,0.7,0.6,1.0,3.99,D,M7,0.00048,0.0025
307,1,374640000000000,0.7,0.5,1.0,1.0,4.11,D,M7,0.0001,0.012
